,full_text,hashtag,id,location,retweet_hashtags,retweet_mentions,user,user_mentions
562,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1029905246850408448,Parkville/Heidelberg,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",The Florey,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
563,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1029887329446424577,Edmonton,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Stroke Tattler,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
564,RT @TheFlorey: Congratulations to our @NHMRC Research Fellowship and Career Development Fellowship recipients for 2018! Profs Julie Bernhar…,[],1029872551621623808,"Melbourne, Australia",[],"['NHMRC', 'prof julie bernhardt', 'Yen Ying Lim', 'Scott Ayton']",SOBR,"['The Florey', 'NHMRC']"
565,RT @TheFlorey: Congratulations to our @NHMRC Research Fellowship and Career Development Fellowship recipients for 2018! Profs Julie Bernhar…,[],1029826463233597440,"Victoria, Australia",[],"['NHMRC', 'prof julie bernhardt', 'Yen Ying Lim', 'Scott Ayton']",Julie Davey,"['The Florey', 'NHMRC']"
566,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1029709568060747776,,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Barbara Wolfenden,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
567,RT @TheFlorey: Congratulations to our @NHMRC Research Fellowship and Career Development Fellowship recipients for 2018! Profs Julie Bernhar…,[],1029708593061421056,"Ottawa, ON",[],"['NHMRC', 'prof julie bernhardt', 'Yen Ying Lim', 'Scott Ayton']",StrokeRecovery,"['The Florey', 'NHMRC']"
568,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1029705674538635265,,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Nadine Andrew,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
569,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1029701960973180929,"Melbourne, Victoria.",[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Natasha Lannin,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
570,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1029693200535965696,University of Newcastle,[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Gary Crowfoot,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
571,RT @AustStrokeReg: Congrats to our data custodian @DominiqueCad on being awarded a 5-year @NHMRC Research Fellowship! The @AustStrokeReg te…,[],1029649887841800192,"Melbourne, Australia",[],"['Dominique Cadilhac', 'NHMRC', 'AuSCR', 'The Florey', 'SCS Monash']",Brendon Haslam,"['AuSCR', 'Dominique Cadilhac', 'NHMRC', 'AuSCR']"
